day	phase	zt_demi	fly_01	fly_02	fly_03	fly_04	fly_05	fly_06	fly_07	fly_08	fly_09	fly_10	fly_11	fly_12	fly_13	fly_14	fly_15	fly_16	fly_17	fly_18	fly_19	fly_20	fly_21	fly_22	fly_23	fly_24	fly_25	fly_26	fly_27	fly_28	fly_29	fly_30	fly_31	fly_32
1	Night	12	7	8	57	92	11	29	52	12	18	67	15	111	0	30	1	29	18	19	5	30	41	49	53	65	14	37	10	0	0	47	15	41
1	Night	12.5	16	23	42	96	9	18	28	6	2	53	4	14	6	38	0	69	15	35	4	35	14	46	25	53	5	5	2	2	11	19	13	120
1	Night	13	6	10	43	77	6	13	9	9	9	24	13	6	4	21	10	5	10	6	4	20	8	31	11	38	6	3	4	9	0	16	18	4
1	Night	13.5	4	7	33	66	10	7	17	5	8	18	15	8	5	20	6	10	8	13	3	19	10	22	4	32	19	5	2	18	6	3	8	7
1	Night	14	0	1	13	44	3	2	4	20	0	6	0	0	6	0	9	1	4	8	6	23	3	15	20	9	13	31	0	3	0	3	8	14
1	Night	14.5	0	0	5	31	5	56	0	6	13	0	19	3	6	16	12	7	7	31	7	24	5	6	8	12	41	15	0	17	0	4	3	0
1	Night	15	0	0	15	5	5	0	11	8	11	2	1	0	5	4	4	2	4	5	0	7	3	5	4	16	7	3	0	18	0	0	2	0
1	Night	15.5	0	0	0	25	1	0	0	1	0	9	0	0	4	2	4	14	0	0	0	10	2	1	6	5	19	0	7	0	0	1	4	0
1	Night	16	0	0	0	7	0	0	0	0	3	2	0	0	4	0	0	5	2	3	3	0	4	0	25	2	4	8	1	13	0	4	4	0
1	Night	16.5	0	0	0	10	0	0	0	0	0	2	0	3	33	0	0	1	5	0	0	2	2	0	7	1	0	83	0	4	0	0	2	0
1	Night	17	4	0	0	3	0	0	0	0	10	0	6	10	1	0	3	8	1	0	0	2	0	0	0	0	2	35	0	0	0	0	0	0
1	Night	17.5	0	0	16	0	0	0	0	0	2	2	0	4	0	0	0	6	2	0	0	0	4	11	7	0	28	2	0	0	0	0	0	0
1	Night	18	1	0	21	0	0	0	1	0	4	0	0	3	0	0	0	5	4	0	2	0	0	0	0	0	0	0	0	0	0	0	87	0
1	Night	18.5	2	0	0	0	0	0	5	0	9	17	0	38	0	0	0	8	6	0	0	0	0	0	3	0	1	20	0	0	0	0	0	0
1	Night	19	0	0	0	0	0	3	0	0	10	0	0	7	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0
1	Night	19.5	1	0	39	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0
1	Night	20	88	0	11	0	0	1	0	0	2	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0
1	Night	20.5	5	0	59	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	Night	21	2	0	110	0	0	4	0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
1	Night	21.5	6	3	4	0	0	0	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	Night	22	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0
1	Night	22.5	95	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	2	0	0	0	0	0	0
1	Night	23	3	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	0	0	0	0	22
1	Night	23.5	2	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
1	Day	0	47	108	117	70	91	73	37	52	50	66	88	127	80	82	61	113	107	101	25	79	45	79	143	61	12	52	120	126	30	16	16	52
1	Day	0.5	3	45	68	19	65	45	35	18	67	31	92	26	56	49	0	11	57	38	0	63	47	49	156	27	6	74	129	0	1	57	5	0
1	Day	1	28	39	115	33	44	57	26	16	18	26	48	66	45	43	27	20	81	63	10	36	52	48	131	73	11	8	43	14	2	38	12	2
1	Day	1.5	12	130	85	78	94	58	55	24	23	27	62	60	45	49	71	83	54	57	16	98	53	79	135	48	62	24	93	7	20	36	54	0
1	Day	2	60	48	108	71	103	48	57	40	24	62	59	70	67	87	93	140	94	43	185	55	103	67	146	54	42	78	113	207	5	64	57	0
1	Day	2.5	76	86	179	84	127	0	33	11	18	85	74	72	102	96	105	156	109	70	139	64	128	69	146	27	62	24	139	17	4	74	69	0
1	Day	3	63	0	160	70	110	0	9	25	29	70	85	79	128	82	103	156	60	35	91	82	94	38	158	22	82	13	150	134	1	80	67	0
1	Day	3.5	47	14	117	28	67	0	14	22	15	84	89	11	125	33	52	79	35	20	2	74	43	8	150	8	37	16	126	69	5	39	73	10
1	Day	4	39	0	15	34	63	6	6	14	6	9	87	7	74	19	12	0	44	16	0	34	14	38	131	11	11	13	81	56	1	46	21	2
1	Day	4.5	27	40	4	1	41	2	8	16	25	16	72	0	60	26	18	5	17	15	0	28	24	2	53	1	12	0	47	10	4	32	11	0
1	Day	5	0	0	13	0	26	0	5	13	16	8	50	6	60	18	4	0	19	15	0	18	2	12	67	6	11	20	23	10	56	24	0	59
1	Day	5.5	0	0	0	16	16	49	13	31	15	8	44	2	78	29	6	9	16	49	0	6	10	10	43	4	5	8	45	9	0	14	0	27
1	Day	6	12	0	63	13	6	13	0	14	35	17	33	0	33	21	6	12	9	8	0	13	15	15	20	10	4	9	28	12	0	15	4	8
1	Day	6.5	0	0	26	3	20	2	23	8	50	4	22	51	20	13	6	0	7	33	0	20	8	2	52	26	0	0	32	26	1	12	2	3
1	Day	7	0	0	67	14	20	0	15	18	38	0	13	30	21	13	2	14	3	8	3	4	13	6	64	8	4	6	37	11	0	12	3	3
1	Day	7.5	16	0	0	0	0	23	6	3	24	0	7	25	18	4	8	0	0	12	0	5	6	13	41	10	2	0	56	37	0	17	2	0
1	Day	8	0	0	0	0	0	5	0	4	49	0	2	0	0	0	0	20	0	17	0	6	7	2	9	5	0	8	31	22	0	6	1	5
1	Day	8.5	0	0	0	0	0	2	0	4	10	0	0	4	0	9	0	0	0	5	0	0	0	0	20	5	8	8	18	24	0	2	2	5
1	Day	9	24	0	0	0	0	0	0	6	12	0	0	0	0	6	0	27	0	7	0	0	15	4	0	7	0	8	3	0	0	10	3	0
1	Day	9.5	0	0	25	0	0	3	7	6	30	2	0	0	0	0	0	26	0	0	0	15	4	2	0	1	0	4	25	0	0	0	0	5
1	Day	10	12	24	26	0	0	5	4	13	4	0	0	0	0	15	0	0	0	0	0	4	43	2	4	0	0	2	2	0	0	9	1	5
1	Day	10.5	0	4	4	0	2	15	15	3	19	6	0	0	2	20	0	11	5	12	0	3	23	1	10	0	0	9	2	0	0	2	5	6
1	Day	11	0	0	30	59	0	11	38	7	0	2	0	0	0	42	0	34	0	6	5	10	18	17	14	5	0	59	6	0	0	6	50	7
1	Day	11.5	7	15	6	54	54	26	46	7	5	4	10	15	22	30	0	53	19	16	0	44	39	25	10	19	15	43	5	7	1	24	31	50
2	Night	12	39	55	30	79	37	25	24	15	0	29	52	49	15	40	8	53	53	67	14	32	28	45	6	77	25	36	10	0	7	10	19	19
2	Night	12.5	9	11	42	61	39	19	15	16	0	17	10	18	3	39	14	47	24	17	11	35	20	27	2	61	7	19	2	17	18	10	13	16
2	Night	13	6	3	20	36	22	10	5	3	3	18	15	9	1	15	4	25	18	8	0	13	7	19	2	45	4	9	9	17	10	3	8	7
2	Night	13.5	0	2	0	30	32	9	0	6	9	9	0	11	0	14	0	5	14	17	4	10	5	10	9	36	5	16	2	0	5	0	5	6
2	Night	14	0	35	0	16	2	4	0	5	7	7	0	0	2	0	0	0	6	6	0	15	2	4	0	24	0	8	0	0	4	0	4	2
2	Night	14.5	0	0	6	4	0	0	4	0	1	2	0	0	0	0	1	21	5	0	0	7	2	3	2	4	0	13	0	0	0	0	1	0
2	Night	15	0	17	7	13	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	4	0	1	0	5	0	0	0	0	1	4
2	Night	15.5	0	8	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Night	16	0	3	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Night	16.5	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Night	17	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2	Night	17.5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	Night	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0
2	Night	18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13	0	0	0	0	0	0
2	Night	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Night	19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Night	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
2	Night	20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2	Night	21	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2	Night	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
2	Night	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0
2	Night	22.5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Night	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	35	0	0	0	0	0	13
2	Night	23.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	35
2	Day	0	70	25	51	43	94	85	76	33	27	63	43	82	54	68	5	58	1	34	140	55	19	74	40	19	9	49	125	59	2	14	43	63
2	Day	0.5	0	0	0	10	51	36	4	9	15	21	25	23	20	6	0	0	17	27	0	9	23	16	94	0	0	22	71	0	0	0	0	18
2	Day	1	75	7	67	36	82	31	28	19	28	36	44	40	3	16	65	6	13	36	61	4	22	11	86	27	1	59	85	15	0	3	6	3
2	Day	1.5	50	0	95	53	72	29	58	25	32	47	51	84	48	33	82	5	64	38	29	49	55	67	48	59	31	49	105	0	12	67	23	2
2	Day	2	60	67	49	43	92	46	57	11	32	68	47	52	61	69	92	103	106	67	85	42	58	75	78	38	46	96	74	211	17	50	116	0
2	Day	2.5	72	19	93	52	95	0	34	16	34	70	58	62	87	56	100	101	110	59	94	54	85	73	113	26	60	94	137	169	5	94	45	3
2	Day	3	75	0	116	17	107	0	7	15	30	77	68	33	103	58	105	140	88	32	72	43	63	36	111	4	77	18	155	179	3	85	54	2
2	Day	3.5	49	0	98	20	72	15	11	14	18	66	67	0	79	16	61	110	51	9	22	28	27	12	84	10	49	28	78	110	2	69	40	0
2	Day	4	21	32	26	30	29	13	10	4	3	53	55	0	59	53	21	9	16	8	0	30	3	21	56	6	14	18	55	55	2	51	10	2
2	Day	4.5	16	0	12	3	6	0	1	27	2	20	43	33	27	18	23	0	19	14	0	27	8	23	25	8	6	8	16	84	0	50	8	0
