fly	phase	day	lengths
fly_01	Day	1	21
fly_01	Day	1	33
fly_01	Day	1	39
fly_01	Day	1	27
fly_01	Day	1	5
fly_01	Day	1	10
fly_01	Day	1	12
fly_01	Day	1	6
fly_01	Day	1	8
fly_01	Day	1	15
fly_01	Day	1	8
fly_01	Day	1	8
fly_01	Day	1	17
fly_01	Day	1	6
fly_01	Day	1	8
fly_01	Day	1	7
fly_01	Day	1	13
fly_01	Day	1	5
fly_01	Day	1	6
fly_01	Day	1	9
fly_01	Day	1	7
fly_01	Day	1	15
fly_01	Day	1	10
fly_01	Day	1	21
fly_02	Day	1	214
fly_02	Day	1	145
fly_03	Day	1	5
fly_03	Day	1	8
fly_03	Day	1	79
fly_03	Day	1	13
fly_03	Day	1	19
fly_03	Day	1	10
fly_03	Day	1	23
fly_03	Day	1	38
fly_03	Day	1	133
fly_04	Day	1	360
fly_05	Day	1	360
fly_06	Day	1	76
fly_06	Day	1	69
fly_06	Day	1	32
fly_06	Day	1	178
fly_07	Day	1	22
fly_07	Day	1	36
fly_07	Day	1	291
fly_07	Day	1	8
fly_08	Day	1	360
fly_09	Day	1	9
fly_09	Day	1	23
fly_09	Day	1	13
fly_09	Day	1	5
fly_09	Day	1	9
fly_09	Day	1	67
fly_09	Day	1	5
fly_09	Day	1	20
fly_09	Day	1	5
fly_09	Day	1	7
fly_09	Day	1	14
fly_09	Day	1	15
fly_09	Day	1	15
fly_09	Day	1	7
fly_09	Day	1	8
fly_09	Day	1	13
fly_09	Day	1	5
fly_09	Day	1	7
fly_09	Day	1	16
fly_09	Day	1	17
fly_10	Day	1	53
fly_10	Day	1	301
fly_11	Day	1	360
fly_12	Day	1	22
fly_12	Day	1	6
fly_12	Day	1	12
fly_12	Day	1	7
fly_12	Day	1	11
fly_12	Day	1	40
fly_12	Day	1	8
fly_12	Day	1	6
fly_12	Day	1	10
fly_12	Day	1	218
fly_13	Day	1	360
fly_14	Day	1	360
fly_15	Day	1	360
fly_16	Day	1	1
fly_16	Day	1	32
fly_16	Day	1	161
fly_16	Day	1	13
fly_16	Day	1	141
fly_17	Day	1	8
fly_17	Day	1	33
fly_17	Day	1	5
fly_17	Day	1	5
fly_17	Day	1	300
fly_18	Day	1	360
fly_19	Day	1	8
fly_19	Day	1	351
fly_20	Day	1	360
fly_21	Day	1	76
fly_21	Day	1	6
fly_21	Day	1	51
fly_21	Day	1	20
fly_21	Day	1	124
fly_21	Day	1	11
fly_21	Day	1	6
fly_21	Day	1	52
fly_22	Day	1	360
fly_23	Day	1	57
fly_23	Day	1	142
fly_23	Day	1	31
fly_23	Day	1	21
fly_23	Day	1	104
fly_24	Day	1	360
fly_25	Day	1	56
fly_25	Day	1	56
fly_25	Day	1	245
fly_26	Day	1	38
fly_26	Day	1	37
fly_26	Day	1	50
fly_26	Day	1	64
fly_26	Day	1	59
fly_26	Day	1	19
fly_26	Day	1	39
fly_26	Day	1	35
fly_27	Day	1	360
fly_28	Day	1	360
fly_29	Day	1	360
fly_30	Day	1	360
fly_31	Day	1	6
fly_31	Day	1	8
fly_31	Day	1	67
fly_31	Day	1	265
fly_32	Day	1	300
fly_32	Day	1	9
fly_32	Day	1	5
fly_32	Day	1	6
fly_01	Day	2	360
fly_02	Day	2	198
fly_02	Day	2	75
fly_02	Day	2	40
fly_02	Day	2	38
fly_03	Day	2	360
fly_04	Day	2	360
fly_05	Day	2	360
fly_06	Day	2	360
fly_07	Day	2	360
fly_08	Day	2	360
fly_09	Day	2	360
fly_10	Day	2	360
fly_11	Day	2	360
fly_12	Day	2	360
fly_13	Day	2	360
fly_14	Day	2	360
fly_15	Day	2	360
fly_16	Day	2	360
fly_17	Day	2	111
fly_17	Day	2	5
fly_17	Day	2	19
fly_17	Day	2	42
fly_17	Day	2	107
fly_17	Day	2	20
fly_17	Day	2	16
fly_17	Day	2	20
fly_18	Day	2	360
fly_19	Day	2	360
fly_20	Day	2	360
fly_21	Day	2	254
fly_21	Day	2	105
fly_22	Day	2	360
fly_23	Day	2	38
fly_23	Day	2	320
fly_24	Day	2	360
fly_25	Day	2	360
fly_26	Day	2	24
fly_26	Day	2	116
fly_26	Day	2	29
fly_26	Day	2	16
fly_26	Day	2	20
fly_26	Day	2	46
fly_26	Day	2	37
fly_26	Day	2	5
fly_26	Day	2	17
fly_26	Day	2	20
fly_26	Day	2	8
fly_27	Day	2	360
fly_28	Day	2	360
fly_29	Day	2	360
fly_30	Day	2	360
fly_31	Day	2	360
fly_32	Day	2	309
fly_32	Day	2	8
fly_01	Day	3	360
fly_02	Day	3	360
fly_03	Day	3	360
fly_04	Day	3	360
fly_05	Day	3	360
fly_06	Day	3	360
fly_07	Day	3	360
fly_08	Day	3	360
fly_09	Day	3	360
fly_10	Day	3	360
fly_11	Day	3	360
fly_12	Day	3	360
fly_13	Day	3	360
fly_14	Day	3	360
fly_15	Day	3	360
fly_16	Day	3	360
fly_17	Day	3	360
fly_18	Day	3	360
fly_19	Day	3	360
fly_20	Day	3	360
fly_21	Day	3	360
fly_22	Day	3	360
fly_23	Day	3	38
fly_23	Day	3	319
fly_24	Day	3	360
fly_25	Day	3	360
fly_26	Day	3	360
fly_27	Day	3	360
fly_28	Day	3	360
fly_29	Day	3	360
fly_30	Day	3	360
fly_31	Day	3	360
fly_32	Day	3	309
fly_32	Day	3	11
