fly_id	Subset_1	Subset_2	Subset_3
fly_01	39	360	360
fly_02	214	198	360
fly_03	133	360	360
fly_04	360	360	360
fly_05	360	360	360
fly_06	178	360	360
fly_07	291	360	360
fly_08	360	360	360
fly_09	67	360	360
fly_10	301	360	360
fly_11	360	360	360
fly_12	218	360	360
fly_13	360	360	360
fly_14	360	360	360
fly_15	360	360	360
fly_16	161	360	360
fly_17	300	111	360
fly_18	360	360	360
fly_19	351	360	360
fly_20	360	360	360
fly_21	124	254	360
fly_22	360	360	360
fly_23	142	320	319
fly_24	360	360	360
fly_25	245	360	360
fly_26	64	116	360
fly_27	360	360	360
fly_28	360	360	360
fly_29	360	360	360
fly_30	360	360	360
fly_31	265	360	360
fly_32	300	309	309
