fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	1	1	0	7	8	7
fly_02	2	5	0	5	4	0
fly_03	9	4	3	7	9	10
fly_04	5	3	4	7	8	5
fly_05	3	2	2	7	7	9
fly_06	3	2	3	2	2	4
fly_07	7	2	2	7	5	4
fly_08	3	5	5	11	8	9
fly_09	7	4	4	10	7	10
fly_10	7	2	2	6	7	4
fly_11	5	1	1	8	7	7
fly_12	8	1	3	8	7	3
fly_13	5	2	2	7	8	8
fly_14	3	1	2	7	8	8
fly_15	5	3	2	7	6	7
fly_16	6	3	3	3	4	0
fly_17	7	3	4	7	8	8
fly_18	4	2	2	9	7	8
fly_19	6	1	2	7	3	9
fly_20	5	2	4	8	9	0
fly_21	8	3	2	8	8	5
fly_22	6	3	3	8	9	9
fly_23	7	6	6	8	10	9
fly_24	4	3	2	9	0	9
fly_25	7	2	4	8	6	8
fly_26	8	3	5	7	4	5
fly_27	4	1	2	9	9	10
fly_28	4	1	2	8	8	0
fly_29	1	2	3	6	4	9
fly_30	4	1	1	9	0	8
fly_31	7	3	5	4	6	6
fly_32	2	3	2	1	6	5
