fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	28	4	2	10	18	9
fly_02	11	14	1	9	13	1
fly_03	18	9	7	20	16	19
fly_04	9	6	4	12	16	21
fly_05	16	2	3	16	23	23
fly_06	10	9	8	20	17	22
fly_07	9	4	9	22	18	11
fly_08	13	7	9	27	34	35
fly_09	35	8	9	26	26	28
fly_10	12	7	6	16	14	6
fly_11	12	6	5	14	12	13
fly_12	22	5	9	15	13	17
fly_13	14	5	10	15	15	16
fly_14	7	2	5	18	27	23
fly_15	17	8	4	15	10	10
fly_16	18	7	6	16	17	17
fly_17	23	16	9	19	19	20
fly_18	10	6	3	29	18	18
fly_19	14	6	5	7	9	19
fly_20	11	7	7	17	16	26
fly_21	22	10	6	25	28	25
fly_22	10	9	9	23	20	20
fly_23	25	9	12	14	15	21
fly_24	12	6	3	25	27	29
fly_25	23	8	9	17	23	22
fly_26	27	18	9	28	20	26
fly_27	8	6	8	23	20	21
fly_28	17	4	6	22	19	25
fly_29	4	9	11	17	20	17
fly_30	10	6	3	25	22	20
fly_31	14	10	7	17	18	17
fly_32	10	9	6	22	14	10
