fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	18	0	0	0	2	2
fly_02	3	0	0	1	2	0
fly_03	4	1	1	4	2	2
fly_04	1	2	0	0	3	3
fly_05	4	0	1	1	5	8
fly_06	3	2	3	3	4	5
fly_07	3	1	0	5	5	4
fly_08	3	2	4	6	7	8
fly_09	17	3	2	1	6	8
fly_10	2	1	2	3	3	2
fly_11	4	1	2	1	0	1
fly_12	10	0	0	3	2	2
fly_13	4	1	1	1	2	4
fly_14	0	0	1	1	4	3
fly_15	4	3	0	3	1	3
fly_16	7	2	3	1	3	2
fly_17	7	10	2	2	2	3
fly_18	2	0	0	5	3	1
fly_19	5	1	1	2	1	5
fly_20	2	0	3	2	1	0
fly_21	10	5	1	7	6	6
fly_22	4	2	3	4	5	2
fly_23	11	3	4	3	1	0
fly_24	2	1	0	9	12	11
fly_25	5	2	2	1	6	6
fly_26	10	5	1	5	1	4
fly_27	3	2	0	2	2	5
fly_28	4	0	0	4	2	1
fly_29	1	2	5	8	10	7
fly_30	3	2	0	1	4	3
fly_31	4	2	1	4	4	3
fly_32	2	0	1	11	8	2
