fly_id	Subset_1	Subset_2	Subset_3
fly_01	19.1962025316456	360	360
fly_02	186.130919220056	136.390313390313	360
fly_03	81.1646341463415	360	360
fly_04	360	360	360
fly_05	360	360	360
fly_06	121.816901408451	360	360
fly_07	242.366946778711	360	360
fly_08	360	360	360
fly_09	26.5	360	360
fly_10	263.870056497175	360	360
fly_11	360	360	360
fly_12	147.523529411765	360	360
fly_13	360	360	360
fly_14	360	360	360
fly_15	360	360	360
fly_16	135.045977011494	360	360
fly_17	259.837606837607	79.3411764705882	360
fly_18	360	360	360
fly_19	343.356545961003	360	360
fly_20	360	360	360
fly_21	78.1791907514451	210.42061281337	360
fly_22	360	360	360
fly_23	100.369014084507	290.067039106145	289.089635854342
fly_24	360	360	360
fly_25	185.705882352941	360	360
fly_26	46.9120234604106	58.5562130177515	360
fly_27	360	360	360
fly_28	360	360	360
fly_29	360	360	360
fly_30	360	360	360
fly_31	216.225433526012	360	360
fly_32	281.69375	301.403785488959	298.75625
