fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	13	0	40	19	0	0
fly_02	6	36	0	57	0	0
fly_03	16	28	56	44	0	0
fly_04	85	102	129	0	0	0
fly_05	5	119	129	37	0	0
fly_06	28	20	61	0	0	0
fly_07	64	35	38	15	0	0
fly_08	0	16	45	0	0	12
fly_09	7	0	0	21	0	0
fly_10	3	0	87	0	0	26
fly_11	10	34	59	0	0	0
fly_12	20	48	0	0	0	0
fly_13	0	11	16	0	0	0
fly_14	64	80	59	52	0	18
fly_15	0	0	0	0	0	0
fly_16	61	57	88	28	0	20
fly_17	3	121	111	0	2	0
fly_18	60	74	86	0	15	14
fly_19	0	0	0	0	0	0
fly_20	12	68	103	53	0	15
fly_21	64	24	72	15	0	23
fly_22	0	87	86	0	0	0
fly_23	20	12	18	271	0	0
fly_24	40	63	135	46	0	0
fly_25	0	0	19	0	0	0
fly_26	0	41	108	24	0	0
fly_27	2	9	0	0	0	0
fly_28	0	0	0	0	0	0
fly_29	0	0	0	0	0	0
fly_30	43	12	62	14	0	0
fly_31	4	15	52	0	15	0
fly_32	38	40	41	30	41	32
