day	phase	zt	fly_01	fly_02	fly_03	fly_04	fly_05	fly_06	fly_07	fly_08	fly_09	fly_10	fly_11	fly_12	fly_13	fly_14	fly_15	fly_16	fly_17	fly_18	fly_19	fly_20	fly_21	fly_22	fly_23	fly_24	fly_25	fly_26	fly_27	fly_28	fly_29	fly_30	fly_31	fly_32
1	Night	12	32	25	10	0	25	9	0	39	49	13	43	23	54	0	59	0	26	1	54	10	0	5	19	5	38	45	54	58	58	7	29	8
1	Night	13	52	42	19	5	38	28	33	52	43	16	38	47	54	16	49	45	33	25	53	14	42	0	38	12	46	50	53	39	57	38	30	49
1	Night	14	60	59	47	2	48	55	58	31	57	51	54	56	55	38	48	50	42	38	48	14	49	29	38	38	39	40	60	52	60	55	44	56
1	Night	15	60	60	45	40	50	60	54	51	53	51	59	60	53	56	45	49	55	52	60	41	55	48	41	30	47	57	53	50	60	59	52	60
1	Night	16	60	60	60	49	60	60	60	60	57	56	60	58	51	60	60	57	50	57	58	59	55	60	48	56	51	54	59	48	60	58	56	60
1	Night	17	58	60	49	57	60	60	60	60	48	59	49	52	59	60	58	45	53	60	60	58	56	56	52	60	55	43	60	60	60	60	60	60
1	Night	18	58	60	54	60	60	60	58	60	46	54	60	51	60	60	60	54	51	60	59	60	60	60	58	60	59	57	60	60	60	60	47	60
1	Night	19	59	60	56	60	60	57	60	60	55	60	60	54	60	60	60	60	60	60	60	60	53	60	60	60	58	59	60	60	60	60	59	60
1	Night	20	46	60	47	60	60	59	60	60	55	60	60	55	60	60	60	60	60	60	60	60	58	60	60	60	60	58	60	60	60	60	60	60
1	Night	21	55	59	51	60	60	59	60	60	43	60	60	60	60	60	60	54	60	60	60	60	60	60	58	60	60	59	60	60	60	60	60	60
1	Night	22	45	60	60	60	60	60	60	60	36	60	60	60	60	60	60	60	60	60	60	60	57	60	59	60	60	55	60	60	60	60	60	60
1	Night	23	53	60	60	60	60	60	59	60	45	60	60	60	60	60	60	60	60	60	60	60	58	60	60	60	60	53	60	60	60	60	60	20
1	Day	0	40	4	17	25	7	18	28	25	10	27	6	23	26	9	43	31	12	19	54	5	30	10	0	14	50	16	2	48	46	31	44	31
1	Day	1	42	27	11	17	16	6	24	42	34	36	6	21	31	22	35	31	11	10	52	10	5	8	0	6	37	42	16	45	45	28	31	59
1	Day	2	0	23	0	0	0	37	5	26	17	0	6	4	0	0	6	0	0	0	0	0	0	0	0	5	17	9	5	21	47	0	0	60
1	Day	3	0	49	5	18	0	60	45	41	12	0	0	23	0	10	12	3	18	21	29	0	12	27	0	32	8	47	0	5	51	0	7	57
1	Day	4	19	57	48	44	17	53	55	39	44	49	0	58	0	41	47	58	35	33	60	14	34	37	11	49	51	40	0	29	54	6	46	59
1	Day	5	60	60	57	51	36	37	51	14	31	51	5	57	12	40	55	49	41	49	60	43	52	43	20	49	50	42	10	48	55	35	60	37
1	Day	6	53	60	46	55	45	44	53	41	23	51	19	45	12	49	56	53	49	45	60	39	41	50	35	36	55	48	30	48	59	38	55	56
1	Day	7	53	60	53	54	54	52	55	47	15	60	38	34	38	49	54	55	59	45	59	51	53	46	16	46	57	52	33	43	60	36	53	58
1	Day	8	60	60	60	60	60	52	60	49	32	60	59	57	60	56	60	54	60	31	60	56	55	58	45	47	55	52	34	47	60	54	56	51
1	Day	9	53	60	50	60	60	58	56	53	41	59	60	60	60	56	60	41	60	56	60	55	53	56	60	54	60	53	48	60	60	54	58	57
1	Day	10	52	57	46	60	58	46	51	46	45	56	60	60	59	43	60	54	57	52	60	53	44	58	47	60	60	53	57	60	60	53	55	53
1	Day	11	54	51	47	8	37	33	9	45	56	57	54	52	48	10	60	12	46	47	58	21	21	17	40	45	51	28	49	56	59	31	9	20
2	Night	12	18	16	18	0	0	11	15	16	60	8	21	9	35	0	32	4	0	0	35	0	6	0	48	0	27	5	46	57	16	16	18	12
2	Night	13	50	55	48	8	2	43	54	45	47	27	49	49	59	20	56	29	0	38	58	24	41	13	40	10	50	22	51	55	39	57	30	51
2	Night	14	60	53	57	38	58	57	59	59	52	49	60	60	58	60	59	43	47	45	60	34	56	50	55	28	60	47	60	60	55	60	53	58
2	Night	15	60	48	57	47	60	60	60	60	57	60	60	60	60	60	60	57	50	60	60	60	59	55	60	59	60	55	60	60	60	60	59	58
2	Night	16	60	45	53	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
2	Night	17	60	58	60	60	60	60	60	59	60	60	60	60	60	60	60	60	60	60	60	60	60	60	52	60	60	60	60	60	60	60	60	60
2	Night	18	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	58	60	60	53	60	60	60	60	60	60
2	Night	19	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	51	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
2	Night	20	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	55	60	60	60	60	60	60	60	60	57	60	60	60	60	60	60
2	Night	21	60	58	60	60	60	60	60	60	60	60	60	60	60	60	60	60	59	60	60	60	60	60	60	60	60	56	60	60	60	60	60	60
2	Night	22	60	58	60	60	60	60	60	60	60	60	60	60	60	60	60	60	59	60	60	60	59	60	60	60	60	59	60	60	60	60	60	60
2	Night	23	60	55	60	60	60	60	60	60	60	60	60	60	60	60	60	60	56	60	60	60	60	60	60	60	60	53	60	60	60	60	60	17
2	Day	0	35	52	39	37	14	1	29	36	39	26	25	24	39	30	53	45	49	24	36	23	41	23	12	51	52	26	11	55	57	56	46	20
2	Day	1	19	51	14	15	2	13	16	33	11	19	17	15	42	38	12	53	34	19	29	28	20	25	8	30	44	21	9	59	49	29	47	54
2	Day	2	5	33	16	5	0	37	5	45	11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	24	8	0	0	2	24	10	12	58
2	Day	3	5	60	0	40	0	53	49	31	16	0	0	49	0	30	6	0	11	28	31	8	11	29	0	50	10	27	0	7	55	0	0	59
2	Day	4	38	59	41	48	40	43	53	47	56	19	0	48	0	32	38	52	39	39	60	21	48	33	15	50	49	48	31	29	59	0	50	59
2	Day	5	42	60	49	50	49	56	60	44	46	43	20	58	20	45	60	53	46	38	60	36	45	49	45	55	48	48	41	28	60	28	52	59
2	Day	6	53	60	57	52	51	53	58	43	46	53	53	59	34	44	52	51	44	55	60	33	53	57	57	44	55	50	33	30	59	38	51	58
2	Day	7	56	55	45	60	57	54	59	55	52	59	56	52	57	52	60	45	51	56	53	39	49	55	55	49	51	59	36	29	60	42	47	60
2	Day	8	56	56	55	58	60	54	51	50	50	60	60	60	57	54	60	50	59	60	60	52	56	53	57	57	59	59	39	48	57	50	58	60
2	Day	9	60	58	59	59	60	57	57	52	52	60	58	60	54	48	60	56	60	60	60	56	54	57	55	57	56	58	55	60	52	58	55	59
2	Day	10	59	60	51	49	50	52	59	46	55	58	60	47	59	57	58	57	55	60	50	56	49	56	59	59	58	51	59	60	58	51	46	25
2	Day	11	57	60	45	11	32	22	24	34	38	44	47	56	42	40	57	29	28	36	60	40	34	32	53	55	51	32	57	60	53	18	16	11
