day	phase	zt_demi	fly_01	fly_02	fly_03	fly_04	fly_05	fly_06	fly_07	fly_08	fly_09	fly_10	fly_11	fly_12	fly_13	fly_14	fly_15	fly_16	fly_17	fly_18	fly_19	fly_20	fly_21	fly_22	fly_23	fly_24	fly_25	fly_26	fly_28	fly_29	fly_30	fly_31	fly_32
1	Night	12	76	51	73	75	75	99	65	98	67	123	119	62	118	52	84	26	68	80	5	95	19	65	72	84	91	43	35	70	54	86	26
1	Night	12.5	67	46	63	45	48	82	73	74	58	97	76	66	77	36	80	27	77	76	32	89	27	30	69	93	73	81	22	65	69	70	26
1	Night	13	42	23	51	35	48	48	80	71	35	96	55	56	69	31	81	24	53	41	33	68	27	8	56	57	74	65	11	47	82	56	18
1	Night	13.5	38	31	38	33	54	50	33	50	31	101	54	67	78	22	60	12	29	42	10	55	29	13	34	57	49	61	14	55	53	49	15
1	Night	14	61	32	51	10	58	25	24	44	18	44	53	38	58	27	43	10	36	39	12	52	53	7	57	53	58	38	10	30	53	34	20
1	Night	14.5	31	26	42	11	56	36	21	58	17	33	43	26	51	28	55	17	61	33	6	36	44	10	53	48	47	67	5	46	47	53	14
1	Night	15	25	18	40	0	27	22	19	35	17	27	43	21	29	12	37	12	61	24	4	17	33	8	26	69	32	42	18	23	34	28	18
1	Night	15.5	35	20	30	0	36	14	35	29	15	50	41	25	44	18	31	7	23	22	5	19	30	25	17	43	20	31	4	24	32	42	12
1	Night	16	26	10	18	0	17	10	7	29	6	32	15	13	13	10	33	5	40	15	1	28	11	14	17	16	44	22	2	22	21	25	4
1	Night	16.5	13	24	26	0	15	15	48	12	1	13	16	14	15	25	13	11	18	11	1	9	3	12	19	12	15	15	0	8	8	23	6
1	Night	17	10	14	38	0	10	49	7	16	0	8	8	4	6	11	25	18	7	20	7	10	12	5	14	8	9	3	0	4	7	10	7
1	Night	17.5	4	11	5	0	7	1	0	6	0	0	3	3	3	14	5	4	6	4	1	0	1	1	4	0	5	4	4	2	10	11	2
1	Night	18	9	7	0	0	3	0	0	6	1	3	9	0	8	11	5	8	16	3	0	1	3	1	2	0	2	13	0	12	26	3	0
1	Night	18.5	2	4	0	0	2	0	0	2	0	2	6	0	1	5	2	7	6	0	2	0	0	1	0	0	0	0	3	0	2	4	0
1	Night	19	11	14	0	0	0	0	0	1	8	4	0	0	0	4	5	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1	Night	19.5	19	8	0	0	7	23	0	0	0	19	3	0	6	10	3	1	3	3	0	0	0	4	0	0	0	0	0	0	1	0	1
1	Night	20	0	1	0	4	34	4	0	0	0	13	0	0	12	5	0	3	6	0	0	0	0	2	0	0	0	0	0	0	0	0	2
1	Night	20.5	0	15	0	0	1	0	0	0	3	10	0	0	7	0	0	4	7	0	0	13	0	0	0	0	0	0	0	0	0	0	0
1	Night	21	0	0	0	0	1	4	0	0	0	4	0	0	10	0	0	0	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Night	21.5	0	11	0	2	0	0	0	0	0	11	0	0	0	1	0	13	2	0	3	0	0	0	0	0	0	0	0	0	2	0	1
