fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	23.22	41.58	720	17.89	720	720
fly_02	14.14	97.6	56.44	13.71	10.91	12.3
fly_03	35.93	68.88	52.9	24.5	24.4	31.07
fly_04	83.86	79.43	82.57	44.25	91.5	39.85
fly_05	18.04	68.29	64.62	11.96	13.26	12.4
fly_06	24.67	44.08	76.43	16.05	14.71	18.88
fly_07	36.43	97.17	97.83	12.78	24	22.79
fly_08	33.38	43.42	79.14	13.45	22.94	23.15
fly_09	40.23	103.2	101.2	7.9	8.91	9.5
fly_10	20.05	70.71	176.33	13.39	12.52	14
fly_11	33.42	166.67	71.86	20.31	16.83	17.19
fly_12	40.42	112.4	94	20.65	17.21	14.71
fly_13	17.42	82.33	65.5	11.2	9.75	11.84
fly_14	15.29	39	52.18	14.16	9.16	13.88
fly_15	24.22	48.1	82.67	17.94	16.37	22.29
fly_16	16	29.94	50.55	23.15	31.31	27.61
fly_17	14.07	39.31	47.82	20.84	21.78	23.68
fly_18	24.18	43	61.22	19.75	25.75	23.75
fly_19	29.05	47.33	66.44	19.17	18.35	23.21
fly_20	37.23	74.71	177	31.87	35.23	33.21
fly_21	30.71	54.56	74.29	35.64	22.56	29.85
fly_22	26.91	40.79	81.14	22.67	26.05	25.4
fly_23	27.37	89.33	77	22.57	27.94	31.76
fly_24	60	52.1	184	35	28.77	29.29
fly_25	30.06	92	57	27.73	25.61	35.14
fly_26	37.17	89.17	98.17	26.85	20.8	21.58
fly_28	46.92	56.9	42.71	21.77	22.28	22.23
fly_29	33.53	62.33	92.5	17.91	12.75	15.32
fly_30	24.44	64.88	77	11.72	15.92	19.05
fly_31	30.4	43.73	98.8	17.67	19.14	15.15
fly_32	23.86	96	50.5	29.2	28.94	30.67
