fly_id	Subset_1	Subset_2	Subset_3
fly_01	36.78	360	360
fly_02	19.06	360	360
fly_03	360	360	179.5
fly_04	119.33	360	360
fly_05	29.55	360	360
fly_06	37.22	360	360
fly_07	360	360	360
fly_08	86.25	58.33	89.25
fly_09	87	179.5	360
fly_10	19.82	179.5	360
fly_11	48.86	360	360
fly_12	360	360	360
fly_13	22	179.5	119.33
fly_14	18.59	87.25	360
fly_15	49.57	119.33	360
fly_16	24.69	57	179.5
fly_17	15.05	179.5	117.33
fly_18	56	360	360
fly_19	59.17	70.6	118.33
fly_20	118.67	360	360
fly_21	179.5	179.5	89.25
fly_22	71	360	360
fly_23	119.33	360	360
fly_24	360	176.5	360
fly_25	71	360	360
fly_26	169	360	360
fly_28	179	179.5	115.33
fly_29	116	360	360
fly_30	38.67	360	118.33
fly_31	118	49.86	360
fly_32	71.2	360	360
