fly	phase	day	lengths
fly_01	Night	1	6
fly_01	Night	1	6
fly_01	Night	1	6
fly_01	Night	1	7
fly_01	Night	1	10
fly_01	Night	1	13
fly_01	Night	1	13
fly_01	Night	1	9
fly_01	Night	1	7
fly_01	Night	1	14
fly_01	Night	1	10
fly_01	Night	1	10
fly_01	Night	1	40
fly_01	Night	1	14
fly_01	Night	1	5
fly_01	Night	1	6
fly_01	Night	1	231
fly_01	Night	1	11
fly_02	Night	1	5
fly_02	Night	1	6
fly_02	Night	1	6
fly_02	Night	1	5
fly_02	Night	1	13
fly_02	Night	1	10
fly_02	Night	1	7
fly_02	Night	1	8
fly_02	Night	1	9
fly_02	Night	1	5
fly_02	Night	1	9
fly_02	Night	1	6
fly_02	Night	1	5
fly_02	Night	1	13
fly_02	Night	1	18
fly_02	Night	1	13
fly_02	Night	1	10
fly_02	Night	1	30
fly_02	Night	1	5
fly_02	Night	1	30
fly_02	Night	1	9
fly_02	Night	1	5
fly_02	Night	1	51
fly_02	Night	1	17
fly_02	Night	1	38
fly_02	Night	1	30
fly_02	Night	1	12
fly_02	Night	1	21
fly_03	Night	1	13
fly_03	Night	1	8
fly_03	Night	1	6
fly_03	Night	1	9
fly_03	Night	1	7
fly_03	Night	1	8
fly_03	Night	1	13
fly_03	Night	1	17
fly_03	Night	1	13
fly_03	Night	1	17
fly_03	Night	1	5
fly_03	Night	1	19
fly_03	Night	1	6
fly_03	Night	1	362
fly_04	Night	1	5
fly_04	Night	1	6
fly_04	Night	1	7
fly_04	Night	1	16
fly_04	Night	1	343
fly_04	Night	1	69
fly_04	Night	1	141
fly_05	Night	1	5
fly_05	Night	1	6
fly_05	Night	1	7
fly_05	Night	1	7
fly_05	Night	1	9
fly_05	Night	1	7
fly_05	Night	1	11
fly_05	Night	1	16
fly_05	Night	1	8
fly_05	Night	1	10
fly_05	Night	1	10
fly_05	Night	1	6
fly_05	Night	1	15
fly_05	Night	1	7
fly_05	Night	1	5
fly_05	Night	1	32
fly_05	Night	1	64
fly_05	Night	1	6
fly_05	Night	1	18
fly_05	Night	1	27
fly_05	Night	1	8
fly_05	Night	1	142
fly_05	Night	1	9
fly_05	Night	1	9
fly_05	Night	1	7
fly_06	Night	1	6
fly_06	Night	1	7
fly_06	Night	1	5
fly_06	Night	1	6
fly_06	Night	1	6
fly_06	Night	1	10
fly_06	Night	1	17
fly_06	Night	1	8
fly_06	Night	1	15
fly_06	Night	1	143
fly_06	Night	1	22
fly_06	Night	1	35
fly_06	Night	1	6
fly_06	Night	1	68
fly_06	Night	1	48
