fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	231	383	720	53	720	720
fly_02	51	382	391	41	34	25
fly_03	362	479	319	141	68	118
fly_04	343	505	508	234	406	165
fly_05	142	436	370	64	35	42
fly_06	143	361	414	49	62	76
fly_07	406	497	525	33	64	86
fly_08	299	155	243	29	56	52
fly_09	185	304	435	16	22	20
fly_10	54	240	509	27	28	25
fly_11	244	460	459	69	49	49
fly_12	363	521	520	46	53	51
fly_13	148	274	314	27	26	28
fly_14	69	238	467	53	18	29
fly_15	145	280	463	46	39	74
fly_16	72	270	295	58	129	164
fly_17	43	340	226	99	61	59
fly_18	131	364	364	49	77	77
fly_19	183	209	316	62	54	80
fly_20	184	436	507	176	140	175
fly_21	340	343	223	109	69	84
fly_22	220	419	465	48	62	74
fly_23	344	479	467	67	85	102
fly_24	409	339	507	292	95	62
fly_25	291	508	411	165	95	139
fly_26	336	454	506	138	70	102
fly_28	301	344	199	66	68	46
fly_29	336	497	399	52	35	29
fly_30	108	360	332	22	30	60
fly_31	319	199	459	89	58	40
fly_32	125	536	373	98	91	105
