fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	10	5	0	4	0	0
fly_02	14	2	6	7	16	18
fly_03	3	3	5	6	10	7
fly_04	2	1	2	6	1	8
fly_05	12	1	4	11	13	15
fly_06	7	6	3	10	11	7
fly_07	5	2	3	8	8	14
fly_08	3	8	4	2	5	4
fly_09	5	1	1	1	12	22
fly_10	17	2	1	4	2	2
fly_11	6	1	3	3	7	8
fly_12	3	1	2	4	5	9
fly_13	18	3	4	3	13	10
fly_14	16	7	6	7	15	14
fly_15	12	6	1	2	2	2
fly_16	19	6	3	6	7	5
fly_17	17	6	3	7	5	11
fly_18	7	5	5	12	11	12
fly_19	12	6	6	5	3	6
fly_20	6	4	1	9	6	3
fly_21	6	5	3	0	5	0
fly_22	9	10	1	7	4	8
fly_23	7	0	2	9	9	12
fly_24	0	2	0	2	1	2
fly_25	5	3	5	4	7	7
fly_26	4	2	2	2	7	6
fly_28	6	4	8	16	8	16
fly_29	5	1	3	10	9	19
fly_30	12	5	3	8	12	7
fly_31	5	8	3	7	10	17
fly_32	9	3	8	10	9	7
