fly_id	Subset_1	Subset_2	Subset_3
fly_01	5	361	361
fly_02	4	361	361
fly_03	361	361	41
fly_04	149	361	361
fly_05	4	361	361
fly_06	115	361	361
fly_07	361	361	361
fly_08	2	31	87
fly_09	22	56	361
fly_10	6	120	361
fly_11	5	361	361
fly_12	361	361	361
fly_13	5	86	40
fly_14	5	89	361
fly_15	2	59	361
fly_16	7	15	65
fly_17	2	20	111
fly_18	21	361	361
fly_19	38	86	32
fly_20	21	361	361
fly_21	20	17	77
fly_22	3	361	361
fly_23	7	361	361
fly_24	361	15	361
fly_25	8	361	361
fly_26	3	361	361
fly_28	58	16	34
fly_29	7	361	361
fly_30	2	361	5
fly_31	24	36	361
fly_32	74	361	361
