day	phase	zt	fly_01	fly_02	fly_03	fly_04	fly_05	fly_06	fly_07	fly_08	fly_09	fly_10	fly_11	fly_12	fly_13	fly_14	fly_15	fly_16	fly_17	fly_18	fly_19	fly_20	fly_21	fly_22	fly_23	fly_24	fly_25	fly_26	fly_28	fly_29	fly_30	fly_31	fly_32
1	Night	12	0	0	0	4	5	0	0	0	0	0	0	0	0	6	0	12	0	0	38	0	26	29	8	0	0	0	24	0	0	0	0
1	Night	13	0	5	13	7	6	0	3	6	0	0	0	6	0	25	0	32	0	5	39	0	19	41	19	13	18	5	38	14	0	12	17
1	Night	14	19	6	15	38	8	18	21	0	28	2	0	11	1	20	10	23	13	0	46	12	6	42	15	14	14	13	47	20	1	8	15
1	Night	15	6	14	31	60	28	16	31	19	34	7	3	20	7	33	20	30	18	20	52	33	15	43	36	12	20	9	35	31	14	17	23
1	Night	16	16	32	46	60	34	31	43	25	53	20	10	34	30	39	19	43	20	20	54	32	47	32	36	32	25	26	59	35	36	23	42
1	Night	17	46	34	38	60	45	44	52	39	60	55	46	54	50	35	40	35	42	30	55	51	50	50	48	49	49	55	49	55	41	42	48
1	Night	18	49	47	60	60	55	60	60	46	59	56	45	60	50	41	55	44	42	57	59	59	59	58	58	60	58	38	58	48	57	54	60
1	Night	19	45	50	60	60	50	54	60	59	50	53	59	60	57	46	56	53	58	56	60	60	60	58	60	60	60	60	60	60	58	60	58
1	Night	20	60	56	60	59	53	52	60	60	59	56	60	60	48	57	60	56	41	60	60	57	60	59	60	60	60	60	60	60	60	60	59
1	Night	21	60	55	60	59	59	57	60	60	60	56	60	60	57	59	60	53	47	49	58	60	60	60	60	60	60	60	60	60	59	60	59
1	Night	22	60	59	60	60	60	59	60	60	60	57	60	60	60	58	59	55	54	60	59	60	60	60	60	60	60	60	60	60	59	60	60
1	Night	23	57	38	60	60	48	53	60	60	60	59	58	60	58	55	57	60	59	54	59	60	60	60	60	60	57	60	60	60	55	60	60
1	Day	0	25	32	30	18	22	0	17	22	7	1	8	30	0	0	6	13	17	0	1	19	27	37	30	39	24	1	36	19	17	40	15
1	Day	1	12	32	32	29	7	0	6	28	6	0	13	14	0	0	0	21	10	10	5	31	20	34	33	34	41	23	42	30	18	37	0
1	Day	2	0	0	4	2	0	0	0	0	0	0	6	0	0	0	0	5	1	5	5	0	0	27	5	0	0	0	29	0	0	2	0
1	Day	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	2	0	0	0	0	40	0	0	0	1
1	Day	4	14	10	25	60	29	12	2	5	0	0	49	0	12	18	16	51	16	39	49	34	24	29	40	0	24	20	54	36	0	9	60
1	Day	5	48	47	55	59	58	36	28	31	10	36	42	33	23	33	39	46	50	55	50	56	58	42	54	60	60	59	57	45	21	52	55
1	Day	6	52	36	60	60	42	44	49	30	27	34	59	37	46	44	43	53	60	47	32	59	55	52	57	60	60	33	48	51	38	58	59
1	Day	7	53	43	55	60	41	34	49	43	18	41	38	38	26	34	36	46	40	54	47	60	60	56	59	60	42	50	58	58	41	50	59
1	Day	8	46	55	60	60	41	49	50	45	28	39	37	50	49	47	54	59	60	53	53	60	45	56	58	60	60	60	49	57	42	49	59
1	Day	9	41	36	38	57	35	46	44	50	30	36	36	57	24	38	34	51	45	53	43	58	60	52	52	57	32	35	53	52	48	38	53
1	Day	10	12	31	44	58	33	58	43	28	23	30	24	58	29	39	43	53	50	56	47	57	38	48	58	34	48	54	54	44	35	26	53
1	Day	11	19	7	38	52	15	26	6	14	9	24	13	34	15	16	34	46	47	23	12	44	5	41	28	16	25	14	46	20	33	10	24
2	Night	12	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	6	1	0	0	0
2	Night	13	0	0	0	8	0	0	6	0	0	0	0	16	0	8	0	5	5	1	8	0	0	13	0	0	0	0	8	9	10	0	0
2	Night	14	11	6	29	14	5	27	45	5	8	0	11	10	0	24	0	34	0	24	36	3	0	28	26	20	19	12	29	27	0	6	39
2	Night	15	28	10	42	52	14	44	52	46	29	28	10	56	22	47	23	40	45	52	45	44	21	54	31	40	53	44	47	44	36	15	57
2	Night	16	57	55	59	60	39	40	60	60	60	51	59	60	53	58	41	37	46	43	60	56	54	57	59	48	60	59	60	60	55	51	60
2	Night	17	42	57	60	60	60	58	60	60	60	57	60	60	60	60	59	51	54	36	60	60	57	59	60	60	60	60	60	60	58	60	60
2	Night	18	60	60	60	60	60	60	60	53	59	60	60	60	60	60	59	47	59	60	60	60	59	60	60	53	60	60	59	60	60	57	60
2	Night	19	60	60	60	60	60	60	60	59	60	59	60	60	59	50	59	55	60	60	57	60	60	60	60	60	60	60	60	60	60	59	60
2	Night	20	60	60	60	60	60	60	60	60	60	60	60	60	60	59	60	60	60	60	57	60	60	60	60	60	60	60	60	60	60	60	60
2	Night	21	60	60	60	60	60	60	60	58	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
2	Night	22	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	58	60
