fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	161	221	0	363	0	0
fly_02	238	70	56	381	349	314
fly_03	113	169	80	279	232	254
fly_04	77	106	31	189	171	202
fly_05	233	79	62	397	362	348
fly_06	153	69	44	139	411	399
fly_07	93	38	47	426	336	287
fly_08	183	36	24	424	288	257
fly_09	59	41	74	562	417	378
fly_10	121	35	19	479	457	418
fly_11	82	78	45	395	417	327
fly_12	173	81	47	354	393	367
fly_13	123	25	55	223	447	424
fly_14	204	68	88	174	427	373
fly_15	150	40	82	389	409	341
fly_16	209	127	164	257	219	223
fly_17	204	209	194	306	326	268
fly_18	224	85	70	245	308	245
fly_19	72	113	36	375	323	258
fly_20	112	20	11	242	262	232
fly_21	198	45	46	328	359	314
fly_22	122	79	66	244	225	212
fly_23	160	36	99	246	245	180
fly_24	155	78	28	300	346	310
fly_25	177	48	54	284	259	228
fly_26	187	41	47	371	304	310
fly_28	92	137	83	154	163	142
fly_29	131	100	55	308	363	278
fly_30	101	122	86	414	322	353
fly_31	201	96	39	349	285	290
fly_32	157	23	54	282	257	235
